Type,Day,Chicken Weight (gr),Daily Weight Gain (gr),Average weight gain per week (gr),Daily food consumption per chicken (gr),Acumulated Consumption (gr),Food Convertion Rate
Hembra,0,42,,,,,
Hembra,1,57,15,,14,14,0.252
Hembra,2,73,16,,18,32,0.441
Hembra,3,91,18,,21,53,0.583
Hembra,4,111,20,,24,77,0.692
Hembra,5,134,23,,27,104,0.777
Hembra,6,160,26,,31,135,0.844
Hembra,7,188,29,20.87,34,169,0.898
Hembra,8,220,32,,38,207,0.943
Hembra,9,254,35,,42,249,0.981
Hembra,10,292,38,,47,296,1014
Hembra,11,333,41,,51,347,1043
Hembra,12,376,44,,56,403,1070
Hembra,13,423,47,,61,464,1096
Hembra,14,473,50,40.71,66,530,1119
Hembra,15,526,53,,71,601,1142
Hembra,16,582,56,,76,677,1164
Hembra,17,640,58,,82,759,1186
Hembra,18,701,61,,87,846,1207
Hembra,19,765,64,,93,939,1228
Hembra,20,831,66,,98,1038,1249
Hembra,21,899,68,60.84,104,1141,1270
Hembra,22,969,70,,109,1251,1290
Hembra,23,1042,72,,115,1365,1311
Hembra,24,1116,74,,120,1485,1332
Hembra,25,1191,76,,125,1611,1352
Hembra,26,1268,77,,130,1741,1373
Hembra,27,1347,78,,135,1877,1393
Hembra,28,1427,80,75.38,140,2017,1414
Hembra,29,1507,81,,145,2162,1434
Hembra,30,1589,82,,150,2312,1455
Hembra,31,1671,82,,154,2466,1476
Hembra,32,1754,83,,159,2625,1496
Hembra,33,1838,84,,163,2788,1517
Hembra,34,1922,84,,167,2955,1537
Hembra,35,2006,84,82.76,171,3125,1558
Hembra,36,2090,84,,175,3300,1579
Hembra,37,2175,84,,178,3478,1599
Hembra,38,2259,84,,182,3660,1620
Hembra,39,2344,84,,185,3846,1641
Hembra,40,2428,84,,188,4034,1662
Hembra,41,2512,84,,192,4226,1682
Hembra,42,2595,84,84.17,194,4420,1703
Hembra,43,2678,83,,197,4617,1724
Hembra,44,2761,83,,200,4817,1745
Hembra,45,2843,82,,202,5020,1766
Hembra,46,2924,81,,205,5224,1786
Hembra,47,3005,81,,207,5431,1807
Hembra,48,3085,80,,209,5640,1828
Hembra,49,3165,79,81.34,211,5851,1849
Hembra,50,3243,78,,213,6064,1870
Hembra,51,3320,77,,214,6278,1891
Hembra,52,3397,76,,216,6494,1912
Hembra,53,3472,75,,217,6710,1933
Hembra,54,3546,74,,218,6928,1954
Hembra,55,3619,73,,218,7146,1975
Hembra,56,3691,72,75.22,219,7365,1995
Hembra,57,3761,70,,219,7585,2016
Hembra,58,3830,69,,219,7804,2037
Hembra,59,3898,67,,219,8024,2058
Hembra,60,3964,66,,219,8243,2079
Hembra,61,4028,64,,218,8461,2100
Hembra,62,4091,63,,218,8678,2121
Hembra,63,4152,61,65.80,216,8895,2143
Hembra,64,4211,59,,215,9110,2164
Hembra,65,4268,57,,213,9323,2185
Hembra,66,4323,55,,212,9535,2206
Hembra,67,4376,53,,209,9744,2227
Hembra,68,4427,51,,207,9952,2248
Hembra,69,4476,49,,205,10156,2269
Hembra,70,4523,47,53.06,202,10358,2290
Macho,0,42,,,,,
Macho,1,57,15,,12,12,0.210
Macho,2,73,16,,16,28,0.379
Macho,3,91,18,,19,47,0.515
Macho,4,111,20,,23,70,0.627
Macho,5,134,23,,27,96,0.718
Macho,6,160,26,,31,127,0.793
Macho,7,189,29,21.00,35,162,0.856
Macho,8,221,32,,39,201,0.909
Macho,9,257,36,,44,245,0.955
Macho,10,296,39,,49,294,0.995
Macho,11,339,43,,54,349,1030
Macho,12,385,46,,60,408,1062
Macho,13,434,50,,65,474,1090
Macho,14,488,53,42.69,71,545,1117
Macho,15,545,57,,77,622,1142
Macho,16,605,61,,83,705,1165
Macho,17,669,64,,90,795,1187
Macho,18,737,68,,96,891,1209
Macho,19,808,71,,103,993,1230
Macho,20,882,74,,109,1103,1250
Macho,21,959,77,67.35,116,1218,1270
Macho,22,1040,80,,122,1341,1290
Macho,23,1123,83,,129,1470,1309
Macho,24,1209,86,,136,1606,1328
Macho,25,1297,88,,142,1748,1348
Macho,26,1388,91,,149,1897,1367
Macho,27,1481,93,,155,2052,1386
Macho,28,1576,95,88.06,162,2214,1405
Macho,29,1673,97,,168,2381,1424
Macho,30,1771,99,,174,2555,1443
Macho,31,1871,100,,180,2735,1462
Macho,32,1973,101,,185,2920,1480
Macho,33,2075,103,,191,3111,1499
Macho,34,2179,104,,196,3308,1518
Macho,35,2283,104,101.03,202,3510,1537
Macho,36,2388,105,,207,3716,1556
Macho,37,2493,105,,211,3928,1575
Macho,38,2599,106,,216,4144,1594
Macho,39,2705,106,,221,4364,1613
Macho,40,2811,106,,225,4589,1632
Macho,41,2917,106,,229,4818,1651
Macho,42,3023,106,105.77,232,5050,1670
Macho,43,3129,106,,236,5286,1689
Macho,44,3234,105,,239,5526,1709
Macho,45,3339,105,,243,5768,1728
Macho,46,3443,104,,246,6014,1747
Macho,47,3546,103,,248,6262,1766
Macho,48,3648,102,,251,6513,1785
Macho,49,3750,102,103.82,253,6767,1804
Macho,50,3851,101,,256,7022,1824
Macho,51,3950,100,,258,7280,1843
Macho,52,4049,99,,260,7540,1862
Macho,53,4146,97,,261,7801,1881
Macho,54,4242,96,,263,8063,1901
Macho,55,4337,95,,264,8327,1920
Macho,56,4431,94,97.22,265,8593,1939
Macho,57,4523,92,,266,8859,1959
Macho,58,4613,91,,267,9126,1978
Macho,59,4703,89,,268,9394,1997
Macho,60,4791,88,,268,9662,2017
Macho,61,4877,86,,269,9930,2036
Macho,62,4961,85,,269,10199,2056
Macho,63,5045,83,87.70,269,10468,2075
Macho,64,5126,81,,269,10737,2095
Macho,65,5206,80,,269,11005,2114
Macho,66,5284,78,,268,11273,2133
Macho,67,5360,76,,268,11541,2153
Macho,68,5435,75,,267,11808,2172
Macho,69,5508,73,,266,12074,2192
Macho,70,5580,71,76.42,265,12339,2212
Mixto,0,42,,,,,
Mixto,1,57,15,,13,13,0.231
Mixto,2,73,16,,17,30,0.410
Mixto,3,91,18,,20,50,0.549
Mixto,4,111,20,,23,73,0.659
Mixto,5,134,23,,27,100,0.747
Mixto,6,160,26,,31,131,0.818
Mixto,7,189,29,20.93,35,165,0.877
Mixto,8,220,32,,39,204,0.926
Mixto,9,256,35,,43,247,0.968
Mixto,10,294,38,,48,295,1004
Mixto,11,336,42,,53,348,1037
Mixto,12,381,45,,58,406,1066
Mixto,13,429,48,,63,469,1093
Mixto,14,480,52,41.70,69,537,1118
Mixto,15,535,55,,74,611,1142
Mixto,16,593,58,,80,691,1165
Mixto,17,655,61,,86,777,1187
Mixto,18,719,64,,92,869,1208
Mixto,19,786,67,,98,966,1229
Mixto,20,856,70,,104,1070,1250
Mixto,21,929,73,64.10,110,1180,1270
Mixto,22,1004,75,,116,1296,1290
Mixto,23,1082,78,,122,1418,1310
Mixto,24,1162,80,,128,1546,1330
Mixto,25,1244,82,,134,1679,1350
Mixto,26,1328,84,,140,1819,1370
Mixto,27,1414,86,,145,1965,1389
Mixto,28,1501,87,81.72,151,2116,1409
Mixto,29,1590,89,,157,2272,1429
Mixto,30,1680,90,,162,2434,1449
Mixto,31,1771,91,,167,2601,1469
Mixto,32,1863,92,,172,2773,1488
Mixto,33,1956,93,,177,2951,1508
Mixto,34,2050,94,,182,3132,1528
Mixto,35,2144,94,91.90,186,3319,1548
Mixto,36,2239,95,,191,3510,1568
Mixto,37,2334,95,,195,3705,1587
Mixto,38,2429,95,,199,3904,1607
Mixto,39,2524,95,,203,4107,1627
Mixto,40,2620,95,,207,4314,1647
Mixto,41,2715,95,,210,4525,1667
Mixto,42,2809,95,94.97,214,4739,1687
Mixto,43,2904,94,,217,4956,1707
Mixto,44,2997,94,,220,5176,1727
Mixto,45,3091,93,,223,5399,1747
Mixto,46,3184,93,,226,5624,1767
Mixto,47,3276,92,,228,5852,1787
Mixto,48,3367,91,,230,6083,1807
Mixto,49,3457,90,92.58,233,6316,1827
Mixto,50,3547,89,,235,6550,1847
Mixto,51,3635,89,,236,6787,1867
Mixto,52,3723,87,,238,7025,1887
Mixto,53,3809,86,,239,7264,1907
Mixto,54,3894,85,,241,7505,1927
Mixto,55,3978,84,,242,7747,1947
Mixto,56,4061,83,86.22,243,7989,1967
Mixto,57,4142,81,,243,8233,1988
Mixto,58,4222,80,,244,8477,2008
Mixto,59,4300,78,,244,8721,2028
Mixto,60,4377,77,,244,8965,2048
Mixto,61,4452,75,,244,9209,2068
Mixto,62,4526,74,,244,9453,2089
Mixto,63,4598,72,76.75,243,9696,2109
Mixto,64,4668,70,,243,9939,2129
Mixto,65,4737,68,,242,10181,2149
Mixto,66,4803,67,,241,10421,2170
Mixto,67,4868,65,,239,10661,2190
Mixto,68,4931,63,,238,10899,2210
Mixto,69,4992,61,,236,11135,2230
Mixto,70,5051,59,64.74,234,11369,2251
